x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,electricity_consumption_kwh
-0.55249783,-0.40639291,0.64801346,0.45274766,-0.15162580,-1.33121301,-0.33093460,-0.17908338,0.11264952,0.60351818,0.60071337,0.53235825,0.32089277,0.17430906,0.16537063,0.60258610,0.40734588,0.34503225,0.12693014,0.62117206,-1.17904981,0.41371798,0.87169905,-0.21152311,0.64752066,0.06915178,0.27916216,-0.21934713,0.40026483,-0.91081294,-0.97583314,-0.78731930,0.24939617,-0.68378719,0.15129545,1.29705509,-1.21513455,0.78566263,-0.93536526,0.81842313,2.48965515,-0.44823842,-1.29538135,-0.93129896,0.66274810,0.37604090,0.59434074,2.78936033,1.58023285,-0.21503865,1.13281908,1.41522604,-0.09004944,3.03125640,1.63448805,0.53546161,2.28436536,0.61707176,0.34474977,0.94694449,6.98636830,4.07315473,1.71765211,5.96378058,5.96280806,2.11520083,4.56736839,-0.14324866,2.40675025,0.96772012,3.00315207,8.32264977,4.50360245,7.94092839,-5.39801346,4.20989364,7.23296866,10.30973417,0.35470896,-4.25314187,5.06948149,-15.04981224,6.26837937,-2.28211639,18.45182104,8.21043778,8.74941392,12.32963366,7.01291512,6.95282309,5.28512117,-4.23791605,7.48207434,8.04084080,12.24233172,1.51280032,17.04621677,16.52858966,9.01233050,9.57557328,2342.28688175
-0.46258504,0.36722885,-1.08295281,-0.49563037,-0.16203912,-0.26341182,-0.63930984,-0.75434284,0.10631550,-0.22779756,0.07970017,0.29171186,0.75055260,-0.08214649,-0.22552293,-0.26168285,-0.29397288,-0.14910463,0.82289067,-0.12214894,-1.35676527,-0.14995596,-0.76324481,-0.29602247,-0.36228867,-0.08601053,-0.21839759,-0.22774616,-1.11495229,-0.33134118,0.89292370,0.62815162,-0.69210777,0.45440204,-0.75809352,-1.11089013,-0.52416761,-0.97058409,-1.53155531,-0.63244428,0.24982893,-2.28974459,-1.31720552,-1.51439305,-0.96440680,-1.85987559,-2.25743174,0.53468654,-2.01786859,-1.22195933,-1.52558726,-1.40334982,-1.54191724,-0.17198092,-1.34391360,-2.97647606,-1.52371186,-1.70458847,0.10286079,-5.19227878,-7.05911999,-6.75746747,-2.42901460,-7.34758242,-6.05439199,-9.67851743,-7.19361943,-10.22242300,-10.86411773,-6.11065001,-1.59710073,-3.59820778,-9.60729424,-16.09805565,-10.51015892,-4.57853042,-7.82679856,-6.08260015,-8.58761945,-1.17342623,5.31508338,17.30138440,-7.79583651,3.64044268,-7.00919321,20.52729040,-8.34193225,-10.43661376,2.87604819,15.46413793,-1.52425092,9.56462275,7.79291017,-5.57878224,19.35955591,-3.84119476,16.94104909,10.22685324,7.75162021,13.80511109,1999.16789940
-0.03053816,0.27328354,-0.21075146,-0.20637832,-0.53908264,0.22390927,-0.79165420,-0.90262686,-0.59544697,-0.28769222,-0.54836746,-0.80794620,0.06361126,0.13069632,-1.82860751,-0.84396366,0.04925366,0.01070705,-0.19623095,-0.33299137,0.50521958,-0.24854278,-0.56830060,0.38272340,-0.74974885,-1.20908489,-0.71069930,-0.19149241,-0.34048805,-0.76589565,0.74428596,-0.75670753,-0.98073064,-1.84303305,0.21639982,-0.44814804,-0.74749180,-1.49133654,-0.05433417,-1.90431006,1.53029665,2.58611836,2.28195117,4.12183029,2.13321309,-0.66154130,2.20300382,2.14785179,2.09843744,0.56490188,2.75866358,0.56954398,2.78868982,3.11630318,1.03259131,2.60568944,3.46044958,1.09910671,0.25861993,2.97898050,-7.76170399,0.74502513,5.01255071,-2.70053104,1.67419754,0.33425123,-3.10017897,-3.18048190,-5.47633853,-0.68267039,-4.77655891,-1.20263357,2.83127233,5.18653137,-4.10553366,-4.73135899,-5.51133449,-6.27317546,-3.86539920,-1.38365540,-11.51854584,-0.06019223,-4.47037416,-1.25501004,-10.95879533,-4.72314542,-7.88041946,-16.20968687,12.08300579,-23.21677213,-10.46701785,-8.75136149,0.56932833,-6.56648692,9.31634155,-11.77671410,-17.33386599,-6.82926509,-6.36647899,2.80244771,1862.63596449
0.23535310,-0.39204526,-0.08087005,0.77358203,0.99765929,0.88783793,0.44757157,0.48950362,0.14727492,-0.44044050,-0.45998171,-0.07148462,0.38982776,0.19785364,1.33265731,-0.54510771,-0.16730025,0.49308978,0.27323044,0.11708551,1.67442155,1.21427928,1.55272573,2.02904704,0.33334082,0.46479712,0.60776547,1.32756143,0.68450719,2.24608402,0.39178141,1.39265114,0.33300150,0.52668764,0.40648318,0.77774042,0.90400958,1.07999609,1.59399683,2.12531196,-3.62481176,-2.13567823,-5.10957995,-3.13544389,-1.87172916,-3.24785680,-3.08691465,-3.01189301,-3.76301031,-4.30937279,-4.70569003,-2.64805616,-1.77134999,-3.57878327,-1.80372867,-5.11194173,-0.27278028,-3.04145640,-2.64105420,-2.02809816,-4.93294399,-6.15743633,-2.94271656,-9.51473537,1.33922044,1.72606764,-4.01018771,-7.40547856,-4.34446964,-4.19949501,-3.90261013,-7.84862396,-6.50794977,-0.18711374,-7.06542728,-2.77586749,-1.39685403,-6.93313335,-5.18010678,-6.49775979,6.15482531,11.66595985,-19.72525485,-1.67445855,-2.07924335,-0.33297143,-2.17767902,-4.63041842,-5.69861123,-3.60118160,-4.72476599,3.94008259,-12.70755644,-3.98128860,-2.63138439,-13.38981479,-9.01378509,1.67742624,-0.60631238,6.14278656,1636.08093777
-0.31743699,0.59530011,-0.04362830,0.36297075,-0.39878083,0.45954624,-0.14971536,0.41965011,0.64061105,0.36122794,-0.11970558,-0.40542857,0.17307616,0.41503896,0.13136598,0.76025509,-0.06033839,-0.33593995,0.30664304,0.40162281,-1.19439265,0.25984819,-0.10365358,-0.71065350,-0.84994187,-2.09450452,-0.84126619,-1.19642766,1.34292875,-0.36416626,-0.38133489,-0.27165668,-0.13329993,-1.12528946,-0.63501546,-1.29907253,-2.99986751,-0.48403705,0.06366334,0.08454068,1.62462004,3.05582934,0.37813009,1.00297451,1.48295604,0.24794395,1.30041786,1.52428230,1.83574672,0.26652160,0.76117716,1.76317174,1.35404283,0.74851513,1.01771148,0.96518592,2.36184774,2.47551771,1.14459668,1.18789784,-4.27963928,2.13381079,0.18422576,-0.89779058,5.78735663,-5.57074578,-1.06999184,-1.85827630,3.31287347,3.79348897,2.48037818,-2.51708348,-1.79996546,3.47293271,-2.17072586,-1.46242776,2.25694803,2.79718086,-5.67941811,-2.97187987,7.39438308,15.58352734,8.90106762,-16.91399026,12.56553327,-6.86819024,-3.92965952,-2.14721530,-11.30342906,-2.00759355,-3.18147402,7.59050534,5.52957190,7.47276143,8.09343618,4.04996270,5.81544900,13.31226954,-14.63423155,-3.14049094,1912.44663810
-0.40416205,0.39967003,0.71744742,-0.45357537,-0.19942718,0.15951829,-0.00084712,-0.49604420,-0.06349306,-0.91435506,0.06321798,-0.80866078,-0.50845157,0.42343609,-0.92735254,0.14939658,-0.86913737,0.25561412,0.06963241,-0.43187702,2.29551430,0.93652537,0.29106321,1.11054198,0.59373503,0.03659420,1.82144076,-0.31674908,0.62337678,0.21527741,0.77606207,0.51954982,1.39470140,0.34201495,0.80642589,2.03166211,0.60094084,0.52491093,1.32404170,1.49438468,-0.71879244,-2.26223646,1.01433542,-0.83584982,-0.30566289,-1.02058438,-0.94310823,2.36133562,0.48831691,1.37135220,-0.74555467,-1.94892002,-0.59891102,-1.89232887,0.13908078,0.43109673,0.62549844,1.36179345,-0.13133881,-0.81100472,6.87700046,-2.28840261,-2.70611416,1.18686574,-9.15337684,0.14517114,1.12804370,1.85886774,0.64856447,5.38733518,-3.11094575,-1.78162179,4.54627845,-4.37101174,-2.33055073,0.73781372,-2.24078794,-8.73952128,-3.44521071,-4.23261994,-7.70786753,11.08709818,-17.09042450,-2.64876576,-12.64758686,5.90772564,-11.92640760,-13.40798328,-12.92960262,-10.07587801,-9.96067150,-11.68960039,-9.31296505,-13.65680890,-14.25293455,-8.29318063,-18.48095340,-16.34201458,-12.66753009,-1.33216493,2448.62256906
-0.65334786,-0.29043069,-0.26270948,-0.53156407,-0.33913560,-0.34281138,0.80203685,-0.65678416,-0.17007523,0.49841694,0.21010738,-0.25418139,-0.43170257,-0.66781125,0.98370226,0.12459313,0.31568729,-0.55866712,-0.15274004,-0.47171257,-0.97493937,0.96129616,0.21628255,0.02579798,-1.90545515,-3.02584399,-0.78286178,-0.63956631,-1.36787470,-2.98003948,-1.00289594,-2.25730229,-1.25182334,-1.38381619,-1.64569659,-0.83434198,-1.93868995,-1.95540999,-0.57887380,-1.49932728,-0.37414678,0.59807335,-0.27030066,0.13046884,1.33121186,1.22805169,-1.83343349,-1.41978923,-1.18207614,-1.14286126,0.25020820,-0.24162926,0.00491556,-0.65300899,-1.63062672,-0.90575392,0.43637080,-2.76212634,0.11260367,0.87117766,7.39183176,-0.97052299,1.30158199,8.64320660,5.31521041,5.22364736,4.59121911,5.36815152,8.98640535,0.46777713,2.49638305,1.94188343,7.59337632,8.08128891,5.55822592,0.72621747,15.09578550,5.10646692,6.89684997,-2.20440127,-4.73128576,-8.59896068,-1.74593064,-0.71571327,-2.41409412,-14.75903566,9.69923059,7.70468245,2.43640173,-8.73984954,-9.44027584,9.76606863,1.37799988,-2.52455306,11.14171031,-0.14723520,1.30634774,-14.45186581,11.37563826,-0.07002398,1681.32864623
-0.12852135,-0.35490924,-0.49051075,-1.44668432,0.14467746,0.80246108,-0.26972844,-0.10990724,-0.76418965,-0.19053725,0.27360621,0.01168580,-0.07899413,0.12627973,-0.21928090,0.18862648,-0.90915780,-0.17399343,-0.66635256,-0.01619404,0.36208105,1.85011467,-0.23115241,-0.51419686,0.22495471,-0.12391308,1.15988144,-0.24658476,-0.18939892,1.10977394,0.74692181,-0.34439804,-0.41678867,0.57144447,-0.57663858,1.27102899,1.19953363,0.97389972,-0.64493165,0.60020081,-3.19330311,-0.67585842,1.39043309,-0.80847631,-1.78485829,0.16839273,-0.42259316,0.00504514,-1.22554980,-1.27988977,-1.94773249,-1.39523428,-0.81667891,0.39978730,-1.52433081,-2.65332839,-2.38925587,-1.04807662,-1.00422990,-0.88683644,5.63830059,2.12937760,-0.38805641,2.06606487,7.59209990,3.92106558,0.49059110,1.40720265,2.15835434,6.82338946,6.20405870,0.76130291,-2.86831233,5.37537443,2.98488688,-0.87286997,2.29831799,1.14587106,0.25759253,-5.19183309,5.40706010,-13.83409838,2.25481494,16.07381331,11.77856269,-2.92711020,-5.23624602,-16.59935543,16.49627398,1.26186456,-19.68055971,-10.69173156,-8.33541376,1.85249910,-8.36319560,-27.06670216,-3.33702434,12.16595374,-2.26273429,16.92164697,2300.56264802
-0.43321548,0.25528638,-0.24454668,0.25674405,0.09502603,-0.41087898,-0.13745482,0.01298270,0.12348283,0.27699392,-0.42115304,-0.08921287,0.69798004,0.25962189,0.04276669,0.30979062,0.67320991,0.19526807,-0.51832945,0.09660419,1.45750144,-1.20756878,-0.17811113,1.50540551,0.23324091,0.67375033,1.65650507,0.13005325,1.41011528,0.05069988,-0.11718355,1.20200219,1.31728131,-0.74733217,1.99560631,-0.36477361,1.11989679,-0.31715687,1.55322477,1.56841133,-0.51880474,-0.33348792,-0.03797100,-1.90320248,0.29229023,-0.20891703,-1.58520051,-0.11950870,1.19568354,0.04942702,-1.59819197,-1.79616823,-0.87408607,-0.74881667,0.22807491,2.98417740,-0.13319522,-2.50152730,1.00244410,-1.49380276,0.37496904,-6.04678484,1.57842855,-0.42509978,2.64817378,-4.58571736,3.87173701,0.49604147,-4.50092882,0.58631295,4.57118859,-0.91270774,-2.97481827,-1.25942910,0.21798129,-2.89540915,3.28166537,1.38929033,-2.31081485,-7.92423036,-2.51834735,-2.54251653,-2.82908588,4.12817156,-6.12095005,-13.12542730,-2.91931442,-6.91957911,-2.95421647,-9.64412744,6.34759599,10.38025761,19.14605227,9.45309640,6.49751118,2.01113456,-3.71410100,9.77013048,-2.57993570,20.48904256,1846.66272773
-0.43246683,-0.87356702,0.88659270,-0.37973129,0.16442986,0.71126631,0.18753842,-0.37397233,-0.18716731,-0.45641512,-0.19403476,-0.16878003,0.24009560,0.22355392,-0.06722061,0.20267463,-0.12861435,-0.69793003,1.24909884,-0.28403732,0.11358905,-0.24401288,0.24943666,-1.42922845,0.66407955,-0.25073913,0.38330395,0.17463061,-0.48792144,0.69028691,0.03633962,1.32732797,-0.14514126,-0.69829752,-1.33579892,0.29139886,0.74121410,-1.92851642,0.01754614,0.75390527,-0.94218075,-1.07491582,-1.46358943,-0.66617238,-2.79571889,-2.23974336,-0.26705236,-2.25012339,-3.39819697,3.02477900,-3.11876147,-3.26515824,-3.18793615,-0.78671414,-1.75234819,-1.13790863,-2.03611303,-1.50399193,-1.28543491,-1.40722999,-6.04290966,-1.20557276,0.06102924,-8.48231811,3.64451760,2.12079172,0.11452730,-2.74662033,1.21296949,1.15450494,-6.44705636,-2.59618618,-3.62303277,-0.99147386,4.79408029,1.03063101,4.50180593,0.05846011,-5.76257346,-2.79095671,11.21430579,-0.22776504,-12.71301650,8.89061409,18.71277282,-0.90898799,15.08707366,-13.06874330,11.02115468,10.11411466,10.27591691,20.64200002,15.59059386,8.61479742,14.59490683,-17.57732688,-1.03920928,22.77047753,3.30649745,0.16899147,2370.15777757
